,State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
136,01,003,011416,1,01,003,011416,1,10030114161,1474,97.29,0.0,0.0,1.02,0.0,1.7,19.88,10.72,59.09,30.19,1
137,01,003,011417,1,01,003,011417,1,10030114171,600,100.0,0.0,0.0,0.0,0.0,0.0,17.83,6.0,75.33,18.67,1
138,01,003,011417,2,01,003,011417,2,10030114172,1280,98.83,0.0,0.0,0.0,0.0,1.17,1.97,27.81,62.42,9.77,1
139,01,003,011418,1,01,003,011418,1,10030114181,834,100.0,0.0,0.0,0.0,0.0,0.0,1.92,16.55,55.4,28.06,1
140,01,003,011418,2,01,003,011418,2,10030114182,512,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.39,49.61,1
141,01,003,011419,1,01,003,011419,1,10030114191,1456,95.95,0.0,0.0,0.0,0.0,4.05,6.87,7.42,53.23,39.35,1
142,01,003,011419,2,01,003,011419,2,10030114192,1395,95.84,0.0,0.0,0.0,0.0,2.58,29.09,29.32,49.82,20.43,1
143,01,003,011419,3,01,003,011419,3,10030114193,1283,77.86,0.0,0.0,4.44,0.0,17.69,5.77,7.87,79.73,12.39,1
144,01,003,011419,4,01,003,011419,4,10030114194,596,93.29,0.0,0.0,0.0,0.0,4.19,5.2,2.18,67.95,29.87,1
145,01,003,011501,1,01,003,011501,1,10030115011,3848,82.67,3.09,0.0,0.16,0.0,13.49,4.16,8.08,73.02,18.89,1
146,01,003,011501,2,01,003,011501,2,10030115012,1487,56.15,2.76,0.0,0.0,0.0,9.35,13.25,36.58,50.71,12.71,1
147,01,003,011501,3,01,003,011501,3,10030115013,1787,85.62,5.6,0.0,5.71,0.0,2.63,13.9,8.39,55.34,26.47,1
148,01,003,011503,1,01,003,011503,1,10030115031,1114,88.6,0.0,0.0,0.0,0.0,0.0,21.99,3.86,68.76,27.38,1
149,01,003,011503,2,01,003,011503,2,10030115032,3195,86.32,10.77,0.0,2.91,0.0,0.0,10.8,27.76,66.89,5.35,1
150,01,003,011503,3,01,003,011503,3,10030115033,2212,72.88,14.38,0.0,0.99,0.0,11.75,17.81,16.32,63.97,19.71,1
151,01,003,011503,4,01,003,011503,4,10030115034,1630,67.36,6.13,0.0,0.0,0.0,24.23,23.01,27.48,55.21,17.3,1
152,01,003,011504,1,01,003,011504,1,10030115041,1132,86.13,0.0,0.0,0.0,0.0,0.0,0.0,9.54,44.26,46.2,1
153,01,003,011504,2,01,003,011504,2,10030115042,1630,47.36,18.53,0.0,0.0,0.0,34.11,25.52,30.43,49.51,20.06,7
154,01,003,011504,3,01,003,011504,3,10030115043,3252,98.65,0.0,0.0,0.0,0.0,1.35,1.54,5.66,64.36,29.98,1
155,01,003,011601,1,01,003,011601,1,10030116011,1432,93.44,1.61,0.0,0.35,0.0,2.93,15.19,14.73,57.54,24.72,1
156,01,003,011601,2,01,003,011601,2,10030116012,2148,98.04,1.21,0.74,0.0,0.0,0.0,14.52,17.74,55.4,26.86,1
157,01,003,011601,3,01,003,011601,3,10030116013,690,94.64,0.0,0.29,0.0,0.0,5.07,0.0,0.0,48.84,51.16,1
158,01,003,011601,4,01,003,011601,4,10030116014,1145,94.93,0.0,0.26,0.0,0.0,1.05,3.93,17.21,49.08,33.71,1
159,01,003,011603,1,01,003,011603,1,10030116031,1582,96.52,0.0,0.0,0.0,0.0,3.48,23.39,16.06,44.06,36.03,1
160,01,003,011603,2,01,003,011603,2,10030116032,2053,98.64,0.0,0.0,1.36,0.0,0.0,3.7,29.52,46.03,24.45,1
161,01,003,011604,1,01,003,011604,1,10030116041,841,99.05,0.0,0.0,0.0,0.0,0.95,2.73,7.73,54.58,37.69,1
162,01,003,011604,2,01,003,011604,2,10030116042,1715,97.73,0.0,0.0,0.0,0.0,0.29,17.67,13.29,48.05,38.66,1
163,01,003,990000,0,01,003,990000,0,10039900000,0,,,,,,,,,,,7
164,01,005,950100,1,01,005,950100,1,10059501001,1537,60.57,35.2,0.0,4.23,0.0,0.0,18.61,6.05,73.19,20.75,1
165,01,005,950100,2,01,005,950100,2,10059501002,1188,22.9,74.66,0.0,0.0,0.0,0.0,15.66,7.32,53.11,39.56,2
166,01,005,950200,1,01,005,950200,1,10059502001,1038,39.5,60.5,0.0,0.0,0.0,0.0,41.23,2.5,66.57,30.92,2
167,01,005,950200,2,01,005,950200,2,10059502002,1974,38.3,55.72,0.61,0.0,0.0,3.34,16.74,2.89,13.58,6.53,2
168,01,005,950200,3,01,005,950200,3,10059502003,1185,23.54,76.46,0.0,0.0,0.0,0.0,20.34,6.33,67.59,26.08,2
169,01,005,950300,1,01,005,950300,1,10059503001,767,61.28,35.2,0.0,0.0,0.13,0.0,18.64,9.65,75.49,14.86,1
170,01,005,950300,2,01,005,950300,2,10059503002,817,35.5,61.81,0.0,0.0,0.0,2.33,29.13,15.42,63.53,21.05,2
171,01,005,950400,1,01,005,950400,1,10059504001,906,83.11,16.23,0.0,0.66,0.0,0.0,5.85,6.51,75.06,18.43,1
172,01,005,950400,2,01,005,950400,2,10059504002,1863,33.06,55.07,1.77,0.43,0.0,7.68,44.37,2.79,18.04,12.56,2
173,01,005,950400,3,01,005,950400,3,10059504003,1081,44.59,30.62,0.0,0.0,0.0,24.79,42.83,29.14,46.72,24.14,7
174,01,005,950500,1,01,005,950500,1,10059505001,899,75.75,20.36,0.0,0.0,0.0,0.0,16.02,8.01,60.4,31.59,1
175,01,005,950500,2,01,005,950500,2,10059505002,960,63.44,30.1,0.0,0.0,0.0,0.1,13.75,17.5,59.38,23.13,1
176,01,005,950500,3,01,005,950500,3,10059505003,1259,66.0,21.76,0.0,0.0,0.0,10.88,15.81,7.63,72.99,19.38,1
177,01,005,950600,1,01,005,950600,1,10059506001,646,12.38,83.9,0.0,0.0,0.0,1.24,60.37,14.4,65.79,19.81,2
178,01,005,950600,2,01,005,950600,2,10059506002,1348,54.6,42.21,2.0,0.67,0.0,0.52,34.12,4.45,76.85,18.69,1
179,01,005,950700,1,01,005,950700,1,10059507001,629,59.78,40.22,0.0,0.0,0.0,0.0,26.04,6.84,50.24,19.24,1
180,01,005,950700,2,01,005,950700,2,10059507002,898,49.0,39.64,0.0,0.0,0.0,0.0,29.72,6.9,69.15,23.94,7
181,01,005,950800,1,01,005,950800,1,10059508001,937,43.65,50.37,0.0,1.49,0.0,0.0,21.36,5.02,67.24,27.75,2
182,01,005,950800,2,01,005,950800,2,10059508002,1428,46.43,52.45,0.0,0.0,0.0,0.0,37.39,8.89,69.54,21.57,2
