,STATE,NAME,geometry
29907,FL,cvs,POINT (-82.4630769 27.3890608)
29908,FL,cvs,POINT (-82.599264 27.4950609)
29909,FL,walgreens,POINT (-82.5461379 27.4470006)
29910,FL,walgreens,POINT (-81.9951004 28.0811572)
29915,FL,walgreens,POINT (-82.2096681 27.0713116)
29916,FL,cvs,POINT (-82.6670999 28.3317222)
29917,FL,cvs,POINT (-82.4654873 27.2686033)
29919,FL,walgreens,POINT (-82.6750127 28.2911587)
29920,FL,walgreens,POINT (-81.7356252 28.0445562)
29921,FL,walgreens,POINT (-82.5521744 27.3667453)
29922,FL,"walmart, wal-mart",POINT (-81.9703312 27.933319)
29923,FL,"walmart, wal-mart",POINT (-81.8333226 27.9070222)
29924,FL,"walmart, wal-mart",POINT (-81.7221871 28.0067053)
29925,FL,"walmart, wal-mart",POINT (-81.9595816 28.0008272)
29927,FL,walgreens,POINT (-82.482249 28.2730187)
29930,FL,"walmart, wal-mart",POINT (-81.9771141 28.1193748)
29934,FL,cvs,POINT (-82.2206055 27.0376524)
29935,FL,"walmart, wal-mart",POINT (-82.0636175 29.20917)
29940,FL,walgreens,POINT (-82.2188457 27.0370775)
29941,FL,"walmart, wal-mart",POINT (-81.8161071 28.0600545)
29942,FL,walgreens,POINT (-82.5316362 27.339315)
29943,FL,walgreens,POINT (-82.4970951 27.2995477)
29944,FL,walgreens,POINT (-82.4995518 27.2679159)
29945,FL,walgreens,POINT (-82.4652809 27.2697884)
29946,FL,walgreens,POINT (-82.4166527 27.0990859)
29947,FL,"walmart, wal-mart",POINT (-82.3959655 27.0475811)
29948,FL,walgreens,POINT (-83.582926 30.0974212)
29949,FL,walgreens,POINT (-81.9580404 28.8658892)
29963,FL,cvs,POINT (-82.5315758 27.2995531)
29966,FL,cvs,POINT (-82.4835485 27.9377177)
29970,FL,cvs,POINT (-82.2515737 27.9371)
29971,FL,cvs,POINT (-82.5043008 28.007617)
29975,FL,walgreens,POINT (-82.4503731 27.9810231)
29976,FL,cvs,POINT (-82.3153947 27.9239524)
29977,FL,cvs,POINT (-82.494311 27.8931444)
29978,FL,cvs,POINT (-82.3523818 27.7116643)
29984,FL,cvs,POINT (-82.5409344 28.0603752)
29986,FL,walgreens,POINT (-82.2700575 27.8530055)
29987,FL,walgreens,POINT (-82.623071 28.0207887)
29988,FL,walgreens,POINT (-82.5262841 27.8928229)
29989,FL,walgreens,POINT (-82.4353991 28.0321128)
29990,FL,walgreens,POINT (-82.5006971 27.9380969)
29991,FL,walgreens,POINT (-82.3940972 28.0331082)
29992,FL,walgreens,POINT (-82.5014758 28.1273461)
29993,FL,walgreens,POINT (-82.4354567 27.9955067)
29996,FL,walgreens,POINT (-82.5236521 27.9454243)
29997,FL,walgreens,POINT (-82.4835416 28.0338398)
29999,FL,cvs,POINT (-82.3922539 27.7696927)
30000,FL,"walmart, wal-mart",POINT (-82.265043 27.9405952)
30004,FL,"walmart, wal-mart",POINT (-82.5067836 28.0226069)
30007,FL,"walmart, wal-mart",POINT (-82.3326136 27.7151081)
30010,FL,walgreens,POINT (-82.8328956 27.8797282)
30011,FL,"walmart, wal-mart",POINT (-82.7325627 27.9827381)
30015,FL,"walmart, wal-mart",POINT (-82.5985553 28.0064129)
30019,FL,walgreens,POINT (-82.6373493 27.8073083)
30020,FL,"walmart, wal-mart",POINT (-82.7504909 27.8094536)
30021,FL,cvs,POINT (-82.7455051 27.9612015)
30022,FL,cvs,POINT (-82.7464224 27.8948315)
30023,FL,cvs,POINT (-82.7615589 27.8398446)
30024,FL,cvs,POINT (-82.8268376 27.9809483)
30025,FL,cvs,POINT (-82.637504 27.768071)
30026,FL,cvs,POINT (-82.8204273 27.8442644)
30027,FL,cvs,POINT (-82.8318471 27.8797698)
30028,FL,cvs,POINT (-82.7291801 27.7901795)
30029,FL,cvs,POINT (-82.787102 27.9651738)
