State,County,Tract,GEOID,population,white_alone,black_alone,aian_alone,asian_alone,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
15,3,6301,15003006301,3824,3.61,0.0,0.0,65.74,9.62,3.95,8.03,3.43,67.39,29.18,asian_alone
15,3,6302,15003006302,3251,1.35,0.0,0.0,26.33,54.01,2.43,42.68,6.49,76.44,14.36,nhopi_alone
15,3,6401,15003006401,2191,1.1,0.0,0.0,77.45,5.8,12.32,12.06,6.48,75.67,17.34,asian_alone
15,3,6402,15003006402,6335,2.98,0.03,0.0,68.02,8.79,6.74,3.24,3.98,69.98,25.78,asian_alone
15,3,6500,15003006500,5046,5.53,0.83,0.0,52.62,6.78,19.96,5.75,6.9,69.6,23.44,asian_alone
15,3,6703,15003006703,1695,30.32,1.24,0.0,40.0,5.37,11.27,16.49,0.47,50.5,36.17,other
15,3,6704,15003006704,6686,10.68,3.92,0.0,49.52,8.35,7.66,9.43,1.79,64.34,29.05,other
15,3,6806,15003006806,1654,3.57,0.0,0.0,84.76,0.06,4.35,1.88,0.36,57.32,41.48,asian_alone
15,3,6810,15003006810,3987,40.91,17.36,0.75,3.76,1.18,27.87,0.33,0.23,65.26,14.52,other
15,3,6811,15003006811,1948,24.23,24.13,0.0,3.13,7.85,22.84,0.0,1.44,68.22,13.4,other
15,3,6812,15003006812,1205,17.59,0.0,0.0,73.2,0.0,0.0,0.75,2.82,48.71,48.46,asian_alone
15,3,6813,15003006813,5387,8.76,1.95,0.0,64.23,3.82,6.03,3.53,3.84,66.38,26.55,asian_alone
15,3,6814,15003006814,2934,8.93,2.76,0.0,53.07,2.97,9.2,3.72,3.07,65.64,29.41,asian_alone
15,3,6815,15003006815,2888,8.41,0.45,1.42,49.17,8.17,1.7,21.94,1.18,74.0,24.17,other
15,3,6816,15003006816,2100,4.71,0.0,0.0,68.19,2.1,3.19,4.95,2.76,56.14,40.14,asian_alone
15,3,6817,15003006817,4944,3.42,0.24,0.0,70.43,11.37,3.48,4.62,3.46,69.26,27.08,asian_alone
15,3,6818,15003006818,1930,9.95,13.73,0.0,42.8,7.2,5.6,6.63,2.28,63.37,29.12,other
15,3,6819,15003006819,2902,9.03,1.62,0.0,58.41,2.79,12.16,8.21,3.79,65.33,29.57,asian_alone
15,3,6900,15003006900,4091,46.83,15.13,0.73,9.56,0.39,20.0,11.27,2.4,63.11,14.1,other
15,3,7001,15003007001,1868,42.93,15.47,0.0,4.71,0.0,28.21,6.53,0.0,47.81,5.94,other
15,3,7002,15003007002,2708,46.05,4.36,0.0,16.99,6.68,12.81,9.34,0.0,63.77,3.47,other
15,3,7100,15003007100,3507,51.53,15.43,0.0,11.15,0.0,15.57,1.0,0.94,57.0,16.37,white_alone
15,3,7302,15003007302,5518,63.88,8.48,0.0,6.14,0.0,13.52,2.45,0.76,58.68,13.94,white_alone
15,3,7400,15003007400,5160,55.0,14.55,0.0,10.62,0.21,17.13,1.84,0.74,28.97,15.14,white_alone
15,3,7504,15003007504,3293,4.89,3.31,0.0,27.0,41.09,9.51,18.13,7.47,73.4,18.77,other
15,3,7507,15003007507,5849,9.04,1.33,0.14,51.09,8.26,8.98,3.19,2.43,61.29,22.65,asian_alone
15,3,7508,15003007508,6954,26.45,3.98,0.3,39.19,2.93,9.97,7.13,3.71,66.84,25.91,other
15,3,7701,15003007701,4134,14.56,0.0,0.0,46.06,14.34,14.47,4.52,2.25,63.96,27.72,other
15,3,7702,15003007702,5596,9.92,1.14,0.0,48.89,2.93,11.88,2.5,2.29,70.32,25.63,other
15,3,7804,15003007804,2194,1.09,0.87,0.0,66.82,4.6,4.92,1.96,2.05,68.0,29.49,asian_alone
15,3,7807,15003007807,5340,14.91,2.53,0.0,56.93,0.69,7.45,7.23,3.78,69.61,18.75,asian_alone
15,3,7808,15003007808,3509,6.13,1.57,0.0,41.29,10.06,20.6,7.47,4.42,74.55,18.78,other
15,3,7809,15003007809,3239,10.31,1.54,0.0,66.44,0.43,3.18,1.14,0.59,50.11,47.21,asian_alone
15,3,7812,15003007812,2074,7.76,0.72,0.0,44.5,4.58,8.2,6.14,2.89,70.64,24.54,other
15,3,7813,15003007813,2928,6.8,0.51,0.0,46.17,3.35,6.8,3.14,1.57,78.69,18.24,other
15,3,7814,15003007814,3602,6.05,1.08,0.0,70.68,1.3,1.47,1.72,0.28,63.49,34.54,asian_alone
15,3,7815,15003007815,2294,9.07,0.78,0.0,55.62,7.28,7.89,3.76,12.03,61.03,24.93,asian_alone
15,3,7816,15003007816,3543,15.27,4.54,0.0,42.73,6.55,7.85,1.47,1.64,64.83,26.87,other
15,3,7817,15003007817,1322,9.91,0.0,0.0,60.51,5.82,4.01,3.03,2.8,57.49,38.5,asian_alone
15,3,8001,15003008001,2566,7.79,0.82,0.0,48.13,8.46,13.13,8.13,2.81,64.5,28.88,other
15,3,8002,15003008002,3002,7.36,1.47,0.0,60.23,8.39,9.36,6.85,1.67,59.79,32.94,asian_alone
15,3,8005,15003008005,6178,14.57,0.15,0.0,41.84,5.83,7.14,4.18,0.7,67.37,31.22,other
15,3,8008,15003008008,1604,21.76,3.62,0.0,15.9,8.04,38.09,6.4,2.93,61.1,24.13,other
15,3,8009,15003008009,2723,21.52,0.99,0.0,42.67,4.08,14.29,6.74,0.37,70.73,24.68,other
15,3,8010,15003008010,2221,5.58,0.86,0.0,66.91,5.22,2.12,1.55,0.95,73.35,25.12,asian_alone
15,3,8011,15003008011,2440,2.09,0.45,0.0,59.51,22.21,4.1,1.98,0.37,67.95,31.02,asian_alone
15,3,8012,15003008012,2743,3.43,0.0,0.0,70.11,3.43,5.14,5.9,3.21,72.8,23.0,asian_alone
