STATE,geometry
CA,POINT (-120.84485 37.486128)
IN,POINT (-85.230085 41.085478)
AL,POINT (-85.858786 33.590434)
CA,POINT (-118.229127 34.036148)
IL,POINT (-88.884664 42.25171)
TX,POINT (-98.271382 26.147005)
CA,POINT (-118.237867 33.9781)
IA,POINT (-90.4374 41.559588)
IN,POINT (-86.006689 39.472703)
CA,POINT (-117.531993 34.05728)
CA,POINT (-117.906838 33.864101)
MN,POINT (-92.992101 43.649514)
PA,POINT (-75.60296 40.565877)
LA,POINT (-91.182583 30.468248)
WA,POINT (-118.87121 46.648962)
KY,POINT (-85.892078 38.132888)
IN,POINT (-85.766352 39.999343)
OR,POINT (-119.675291 45.842719)
CA,POINT (-121.196787 37.790406)
FL,POINT (-80.257871 25.840612)
CA,POINT (-121.765428 36.900005)
MS,POINT (-88.642113 33.592509)
UT,POINT (-112.011471 41.089118)
WA,POINT (-122.238507 47.433874)
LA,POINT (-91.579415 32.460171)
IN,POINT (-85.040042 41.071929)
AL,POINT (-88.101226 30.531346)
TX,POINT (-97.010874 32.950769)
VA,POINT (-78.904197 38.387219)
WI,POINT (-87.901241 42.534117)
CA,POINT (-118.056031 33.895023)
CA,POINT (-118.114031 33.975316)
UT,POINT (-112.195837 41.722214)
AZ,POINT (-114.572737 32.668869)
CA,POINT (-116.983931 32.548707)
MD,POINT (-76.787247 39.156828)
FL,POINT (-81.82829 26.720219)
IA,POINT (-92.391498 41.006223)
PA,POINT (-75.556307 40.065848)
MA,POINT (-70.641381 42.628067)
WA,POINT (-119.83197 47.23893)
IA,POINT (-93.626582 41.620143)
SD,POINT (-96.7183 43.56215)
SC,POINT (-81.593612 34.983183)
IA,POINT (-92.899795 42.054746)
MN,POINT (-94.44261 43.660377)
WA,POINT (-122.230177 47.412085)
NV,POINT (-114.95618 36.012603)
NV,POINT (-115.129447 36.184777)
MI,POINT (-83.056345 42.410248)
IL,POINT (-87.830815 41.805888)
MO,POINT (-89.623864 36.924574)
GA,POINT (-83.670633 34.158402)
IL,POINT (-87.844527 41.800034)
IL,POINT (-87.857982 41.766836)
IN,POINT (-87.305469 38.047852)
MA,POINT (-71.087392 42.373602)
CA,POINT (-118.250889 33.789133)
CA,POINT (-122.344835 37.91832)
TX,POINT (-102.70802 34.639743)
IN,POINT (-85.134175 41.162261)
CA,POINT (-118.251112 33.776248)
CA,POINT (-119.168971 34.200513)
NC,POINT (-80.905209 35.270416)
TN,POINT (-86.270543 36.18475)
NC,POINT (-80.878732 35.282743)
OH,POINT (-81.379243 41.245207)
OH,POINT (-81.494517 40.785823)
CA,POINT (-121.633602 36.660351)
NE,POINT (-95.950975 41.208935)
OR,POINT (-122.640817 45.454813)
OR,POINT (-122.640817 45.454813)
AZ,POINT (-112.265349 33.435814)
TN,POINT (-88.921044 35.834494)
HI,POINT (-157.95578 21.392263)
SC,POINT (-82.200689 34.934904)
VA,POINT (-77.344422 37.509066)
NJ,POINT (-74.174448 40.715983)
NJ,POINT (-74.143511 40.689773)
CA,POINT (-118.239768 34.042468)
PA,POINT (-75.716202 39.867353)
IN,POINT (-85.082581 41.068828)
WA,POINT (-122.241921 47.23671)
WA,POINT (-122.24425 47.291732)
CA,POINT (-117.33172 34.033888)
WI,POINT (-89.30962 43.083877)
MI,POINT (-86.488054 42.083485)
TX,POINT (-98.462909 29.515808)
NJ,POINT (-74.211278 40.64082)
FL,POINT (-81.711183 30.347281)
FL,POINT (-82.481142 27.260734)
DE,POINT (-75.539567 39.710825)
CO,POINT (-104.895221 39.856298)
PA,POINT (-75.143107 39.978712)
PA,POINT (-75.13804 39.958475)
NC,POINT (-78.660207 35.730755)
NC,POINT (-78.578886 35.884398)
CA,POINT (-118.216171 34.005548)
MA,POINT (-70.920198 41.638313)
IA,POINT (-96.178772 42.785976)
FL,POINT (-81.842399 27.895473)
GA,POINT (-81.903918 32.165292)
NC,POINT (-78.803671 34.754275)
PA,POINT (-75.354578 40.679694)
PA,POINT (-75.367027 40.679857)
FL,POINT (-80.385181 25.891052)
WA,POINT (-117.438549 47.669183)
CT,POINT (-72.9183 41.300574)
TX,POINT (-95.24878 29.824792)
TX,POINT (-95.27853 29.780791)
WA,POINT (-122.477174 48.778869)
VA,POINT (-76.31817 36.932019)
WA,POINT (-122.375139 47.63346)
PA,POINT (-75.301941 40.291988)
PA,POINT (-75.301941 40.291988)
GA,POINT (-84.246953 33.909722)
GA,POINT (-84.246953 33.909722)
TX,POINT (-97.426728 27.797912)
PA,POINT (-76.072668 40.204375)
