,state,county,tract,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority
67,38,017,040501,38017040501,6261,89.81,0.56,0.0,3.85,0.0,3.42,11.1,6.85,77.5,15.65,1
68,38,017,040502,38017040502,6876,95.87,0.0,0.0,1.51,0.0,1.03,4.02,1.24,93.98,4.03,1
69,38,017,040503,38017040503,2915,93.83,2.23,0.0,0.0,0.0,2.13,1.65,1.2,85.28,13.38,1
70,38,017,040504,38017040504,5318,81.97,16.12,0.0,1.65,0.0,0.0,4.7,1.43,80.24,16.89,1
71,38,017,040505,38017040505,5583,91.71,8.28,0.0,0.0,0.0,0.0,5.59,3.12,71.45,25.43,1
72,38,017,040506,38017040506,2901,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.35,15.65,1
73,38,017,040507,38017040507,3163,93.33,0.0,0.0,0.0,0.0,5.41,2.15,2.15,89.41,8.44,1
74,38,017,040508,38017040508,5245,90.33,0.0,0.0,6.25,0.0,0.72,4.52,10.26,83.66,6.08,1
75,38,017,040509,38017040509,5737,90.41,0.0,0.0,7.88,0.0,0.0,1.77,0.1,81.61,18.28,1
76,38,017,040600,38017040600,3054,95.61,0.0,0.79,0.0,0.39,2.69,1.84,6.42,75.28,17.78,1
77,38,017,040700,38017040700,5239,88.99,6.32,0.0,1.03,0.0,1.79,12.76,2.92,83.26,8.89,1
78,38,017,040800,38017040800,4992,86.26,5.81,0.16,0.2,0.0,5.07,6.26,4.85,82.75,12.22,1
79,38,019,950900,38019950900,1930,90.93,0.1,2.38,0.0,0.0,4.4,15.38,6.42,61.81,28.08,1
80,38,019,951100,38019951100,1839,96.74,0.0,0.38,0.0,0.0,0.33,9.71,7.83,64.87,25.29,1
81,38,021,973200,38021973200,2373,94.44,0.0,0.93,0.0,0.0,4.64,5.54,1.94,79.31,16.1,1
82,38,021,973300,38021973300,1294,93.89,0.85,1.62,0.0,0.0,1.39,4.02,11.82,74.57,13.6,1
83,38,021,973400,38021973400,1190,87.73,1.85,4.03,0.0,0.0,3.28,7.43,7.23,50.59,35.21,1
84,38,023,954500,38023954500,2289,90.69,2.49,1.05,0.0,0.0,4.85,7.41,9.92,64.57,21.63,1
85,38,025,962200,38025962200,4362,82.35,1.65,8.9,1.15,0.32,3.81,6.74,18.8,60.18,19.69,1
86,38,027,959200,38027959200,2262,87.84,0.0,5.48,0.0,0.09,2.03,10.72,5.35,67.55,23.74,1
87,38,029,966500,38029966500,3262,96.78,0.0,0.67,1.1,0.0,0.8,8.6,5.12,66.31,26.92,1
88,38,031,959600,38031959600,3231,95.02,0.56,1.24,0.06,0.43,0.53,7.87,4.09,72.92,19.99,1
89,38,033,962900,38033962900,1796,88.47,0.11,1.45,0.0,0.0,3.73,5.01,5.79,69.82,20.99,1
90,38,035,010100,38035010100,2929,82.93,0.51,3.24,4.57,0.0,6.28,19.37,7.82,79.86,11.81,1
91,38,035,010200,38035010200,3953,87.15,3.64,1.39,0.94,0.0,4.48,14.29,7.36,72.2,20.14,1
92,38,035,010301,38035010301,2270,87.8,0.93,2.33,2.56,0.0,3.39,52.3,6.7,85.46,6.78,1
93,38,035,010302,38035010302,2112,68.56,10.7,0.0,13.02,0.0,4.02,60.32,4.31,92.99,1.8,1
94,38,035,010400,38035010400,5535,69.41,2.19,9.85,7.55,0.0,6.68,31.89,6.05,77.07,16.6,1
95,38,035,010600,38035010600,2357,73.7,7.64,4.75,0.17,0.0,9.63,16.87,10.44,72.59,16.8,1
96,38,035,010700,38035010700,1990,87.74,1.56,1.96,3.02,0.0,0.4,11.25,4.27,71.26,23.97,1
97,38,035,010801,38035010801,5843,80.88,7.67,0.27,5.01,0.0,2.53,28.34,6.38,73.39,15.93,1
98,38,035,010804,38035010804,4145,79.45,2.92,4.58,1.23,8.69,1.25,23.32,3.59,70.16,22.15,1
99,38,035,010805,38035010805,2293,76.62,4.84,8.68,1.92,0.0,5.89,11.47,7.24,74.31,17.49,1
100,38,035,010806,38035010806,2841,73.18,2.53,0.92,3.66,0.0,13.55,16.62,5.35,73.6,20.52,1
