State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools
5,33,20601,2,5,33,20601,2,50330206012,1325,88.45,1.43,0.0,0.08,0.0,6.11,8.98,2.94,51.92,45.13,1,-94.23216633711472,35.524520126825124,4.831211556154671,12.984611426102514,13.83565980218177,4.430035693717209,29.981983476620524,3.862447468866283,3.3794808111338392,3.5911102596781364,1.266048968325187,3.3794808111338392,3.3794808111338392,6.038928979961136,19.452462536809627
5,33,20602,1,5,33,20602,1,50330206021,536,100.0,0.0,0.0,0.0,0.0,0.0,13.99,2.99,57.09,39.93,1,-94.2568249253276,35.49775966655611,3.085219490097843,9.30452746286211,10.15835791981069,3.085219490097843,26.27215509008776,2.45096745216169,2.8081062640142216,2.8438791296230788,3.322864175539332,2.8081062640142216,2.8081062640142216,6.479253686654286,15.78055637655035
5,33,20602,2,5,33,20602,2,50330206022,1171,93.6,0.0,0.0,0.0,0.0,0.0,10.93,10.93,75.92,13.15,1,-94.20412707681707,35.501450778642194,3.226032675089771,13.394701629606946,14.236632285289296,2.6009913978679906,29.42404338308108,1.3879204985658256,2.1291770489077493,2.173429638333184,1.3894916344579753,2.1291770489077493,2.1291770489077493,2.463285982940061,19.775083302774792
5,33,20602,3,5,33,20602,3,50330206023,2185,94.0,0.0,0.0,0.0,0.0,2.11,34.78,3.3,81.14,12.54,1,-94.234780757678,35.49854396238185,1.9939928571755696,10.896404861726117,11.748842819285624,1.7462476136221818,27.46453617281165,1.015745134836088,0.906535841167913,1.029266988729049,1.5032879169508848,0.906535841167913,0.906535841167913,4.791210053417156,17.34984062343937
5,33,20602,4,5,33,20602,4,50330206024,1248,74.6,13.62,1.2,0.0,0.0,10.58,13.22,5.93,66.67,27.4,1,-94.21493835765308,35.48701912527692,1.4766657528273153,11.77185346944156,12.600980368547326,0.9102084775336036,27.56639239181391,0.6429052860602259,1.3086940122255055,0.3960283610558095,0.5205228407749013,1.3086940122255055,1.3086940122255055,2.5845893799141995,18.078454433256045
5,33,20602,5,5,33,20602,5,50330206025,648,92.44,0.0,0.0,0.0,0.0,7.56,27.93,19.29,60.96,19.75,1,-94.2004020443011,35.46669824224019,2.922536809589634,12.24173935309296,13.010083634008318,2.854415846527389,26.81477558275379,2.6390262302434326,1.0767584865422486,2.760850182374574,2.481160322468849,1.07336280976832,1.07336280976832,1.07336280976832,18.192022130158538
5,33,20602,6,5,33,20602,6,50330206026,1227,66.18,1.87,22.9,0.0,0.0,0.0,36.61,12.55,55.83,31.62,1,-94.2132004955028,35.48007794443788,1.4310325213316422,11.598880721864328,12.413200996295217,1.1658867569023272,27.088232492155857,1.1293589790655936,1.9850780413200213,0.874968882211525,0.8101186458992492,1.9850780413200213,1.9850780413200213,2.073529899008351,17.81982627342173
5,35,30101,1,5,35,30101,1,50350301011,999,2.9,92.89,0.0,0.0,0.0,4.2,10.01,10.01,77.08,12.91,2,-90.1467575738729,35.15003131007304,4.055492941365696,7.047707212318153,2.761052149072889,3.295529718856867,3.774819583119308,1.752078234479745,0.5039529420446347,3.3121761106074143,0.9460872820941956,0.5039529420446347,0.5039529420446347,1.1461268928009103,3.4231097192863653
5,35,30101,2,5,35,30101,2,50350301012,1205,1.41,91.45,0.0,0.0,0.0,0.0,51.37,7.63,84.4,7.97,2,-90.15528484959454,35.151822492879305,3.2835389669992323,7.769875250250568,1.9706746889531577,2.551832891731568,3.076817259190793,1.1691745764990629,0.6751023351766654,2.5820625890796607,0.1837745785944264,0.6751023351766654,0.6751023351766654,1.863200648580459,2.6497434227949537
5,35,30102,1,5,35,30102,1,50350301021,859,3.96,96.04,0.0,0.0,0.0,0.0,26.19,3.49,83.7,12.81,2,-90.16925848546828,35.158744679176706,1.7982019642951432,9.244747154213774,0.9494913942712988,1.7469218053246112,2.397227051524178,0.1783088411476697,1.0856953129184284,1.4058899172915489,0.4700131907819991,1.0856953129184284,1.0856953129184284,1.5119297779961398,1.5935383068462268
5,35,30102,2,5,35,30102,2,50350301022,617,0.0,91.41,0.0,0.0,0.0,0.0,22.62,17.34,73.1,9.56,2,-90.17203628741844,35.15121293678168,2.007906261023665,8.973351175698106,0.4835322737018809,1.0624034474071262,1.6628673215114531,0.5582327780271501,0.4496555536204515,1.120034729473704,0.413824614559751,0.4496555536204515,0.4496555536204515,0.8626083364937397,1.125254844531952
5,35,30102,3,5,35,30102,3,50350301023,1624,15.7,83.44,0.0,0.86,0.0,0.0,35.96,3.57,84.3,12.13,2,-90.16226403340178,35.15176723066365,2.7662226274123203,8.27131116886578,1.3386008729700496,1.929715894661292,2.4802913520369745,0.8005207993841076,1.2814832264337064,1.9678482634186367,0.3710383413772407,1.2814832264337064,1.2814832264337064,1.7057378386466562,2.0157408514050768
5,35,30201,1,5,35,30201,1,50350302011,1691,67.53,26.32,0.0,0.0,0.0,2.84,12.11,16.44,80.07,3.49,1,-90.19219144031854,35.1662929667737,0.5647746177435813,11.426000494809454,1.3182342558964373,0.1900913335522868,2.080982625947819,2.101192972775814,0.1549452947752828,0.1327266843469565,0.4640476743666561,0.1549452947752828,0.1549452947752828,0.1549452947752828,0.6540608590535841
5,35,30201,2,5,35,30201,2,50350302012,772,93.13,0.0,0.0,0.0,0.0,0.0,8.68,18.78,71.5,9.72,1,-90.19791590424056,35.16183316337624,0.4380633847228739,11.596264681657749,1.9485127203546089,0.4380633847228739,2.291961665995758,2.072198511753465,0.8452321693071613,0.7726298015588926,0.9133856487648296,0.8452321693071613,0.8452321693071613,0.8452321693071613,1.1638117674611919
5,35,30201,3,5,35,30201,3,50350302013,1064,55.83,39.19,0.0,0.0,0.0,0.0,36.47,2.91,72.74,24.34,1,-90.1978820799839,35.152676889758666,0.8952472696302078,11.104371540556802,1.3301768986648834,0.7992837836614063,1.4290909719474507,1.1120863350037389,1.3153677981397398,0.8912691848474902,1.0543689050070404,1.3153677981397398,1.3153677981397398,1.4947443004609766,1.2449474192768508
5,35,30201,4,5,35,30201,4,50350302014,844,76.42,15.88,0.0,0.0,0.0,5.09,6.87,11.97,73.22,14.81,1,-90.18338852723942,35.155003874847225,1.360489832332577,10.073131594344884,0.6105527315313173,0.8165873984374205,1.37298098965703,0.8580413727587599,0.7136174013431412,0.451263472904138,0.4851149760043586,0.7136174013431412,0.7136174013431412,0.7536356670505033,0.48461130763361954
5,35,30201,5,5,35,30201,5,50350302015,995,97.59,0.0,0.0,0.0,0.0,2.41,12.66,1.91,87.04,11.06,1,-90.18875782857332,35.1590777283872,0.9398478626701228,10.725962866796255,1.2566507440686856,0.9398478626701228,1.7809285771750134,1.5193274636692913,0.4020312720364392,0.3673474323958478,0.582526326963546,0.4020312720364392,0.4020312720364392,0.4020312720364392,0.646850253346054
5,35,30202,1,5,35,30202,1,50350302021,861,90.36,3.83,0.0,0.0,0.0,0.0,7.08,0.0,74.91,25.09,1,-90.20771282846452,35.16175038314849,0.8206587562257371,12.364168236701126,2.675826071554823,0.8206587562257371,2.776918638168023,2.041333609595101,1.6488852411729606,1.5922482581864976,0.1407006932279373,1.6488852411729606,1.6488852411729606,1.6488852411729606,2.042165803531399
5,35,30202,2,5,35,30202,2,50350302022,1578,76.87,20.09,0.0,0.76,0.0,0.0,2.41,3.17,69.84,27.0,1,-90.2070799706654,35.15202771708701,1.4587842613124409,11.829076200305767,1.9120955906467496,1.279080199608848,2.0462582700429275,0.9814574191867328,1.950915979182329,1.5297948096729006,1.223233004725156,1.950915979182329,1.950915979182329,2.1981021548539457,2.0672075121211297
5,35,30202,3,5,35,30202,3,50350302023,1036,58.4,26.54,0.0,1.25,0.0,4.34,2.41,6.37,71.43,22.2,1,-90.22350625382002,35.153365001449494,2.5318207094900336,13.259906101969614,3.329699778501321,2.5318207094900336,3.4755675270006017,2.120718181065894,3.3333575017077712,2.9925578180184065,1.7814029143074224,3.3333575017077712,3.3333575017077712,3.3333575017077712,3.5676211393728274
5,35,30301,1,5,35,30301,1,50350303011,1257,8.67,82.9,0.0,0.0,0.0,3.1,24.34,20.45,74.62,4.93,2,-90.1963189281025,35.14035080502394,0.661057352580545,10.431932185470128,0.7246978425908268,0.6163804735941033,0.8666801107750556,0.3641615583617136,0.8656525518428071,0.7990834110794556,0.3948528722246434,0.8656525518428071,0.8656525518428071,1.6548437717153253,1.5828180663632956
5,35,30301,2,5,35,30301,2,50350303012,1508,43.44,54.11,0.0,0.4,0.0,0.46,20.88,3.58,73.47,15.98,2,-90.2130616460994,35.13594360584865,2.116214621218751,11.73555828806978,2.320118924560524,1.958173070092336,2.4653716845829727,1.2360967021716476,2.4552196530799018,2.267815841588716,0.715218605074292,2.4552196530799018,2.4552196530799018,3.2423405877526386,3.0811853608987505
5,35,30302,1,5,35,30302,1,50350303021,1879,3.51,88.19,0.0,0.0,0.0,2.71,67.83,7.82,67.7,20.6,2,-90.18928568132657,35.13937548453142,0.7783091160912987,9.794657548334383,0.415635024551133,0.7783091160912987,0.44823818296635,0.0967058076834854,0.5359341393401305,0.8177153424466792,0.3594701839274566,0.5359341393401305,0.5359341393401305,1.2043501830753212,1.3379151023803182
5,35,30302,2,5,35,30302,2,50350303022,803,24.41,66.63,0.0,0.0,2.74,6.23,28.77,19.43,59.28,21.3,2,-90.18263116928124,35.13612817108268,1.4217534998601034,9.101755096874305,0.9739535442732437,1.283775631358033,0.8882685888809145,0.2929800685550285,1.0072152261941636,1.1550658247355188,0.336271975626701,1.0072152261941636,1.0072152261941636,1.2566097720265723,1.6309897293578588
5,35,30503,1,5,35,30503,1,50350305031,621,15.62,78.42,0.0,0.0,0.0,0.0,32.79,11.11,79.39,9.5,2,-90.15406896129244,35.141847257789024,3.569739894645564,7.036040725236005,2.415980585452441,2.699291755409344,3.033884305651217,1.033508941745264,1.4766258906383245,2.675158428523657,0.0800783828971362,1.4766258906383245,1.4766258906383245,2.173556350263664,2.9289934948870537
5,35,30503,2,5,35,30503,2,50350305032,732,2.73,92.9,0.0,0.68,0.0,0.0,10.93,11.61,74.59,13.8,2,-90.16127859531288,35.14093233142601,2.9364019395271352,7.549508822782816,1.9504972498437991,2.102972556138197,2.387348053016309,0.3838129477821896,1.8348296226823813,2.0643213282561126,0.4484510336871478,1.8348296226823813,1.8348296226823813,1.8579040622660468,2.367400496213429
