State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes,Closest_Distance_FedEx,Closest_Distance_Banks,Closest_Distance_Childcare,Closest_Distance_Logistical_Top3,Closest_Distance_DHL,Closest_Distance_UPS,Closest_Distance_Private_Schools,urban
44,7,17000,4,44,7,17000,4,440070170004,812,47.17,3.57,0.0,3.57,0.0,40.39,4.19,4.19,81.65,14.16,7,-71.35661148865653,41.86172925228252,0.4167834329716323,2.216557783878225,1.8789407421824127,0.262333985737526,2.2202997046505466,0.3963033461495227,0.4867677129739308,0.4126117056761935,0.7963049225702984,0.4867677129739308,0.4867677129739308,2.9241663055207203,0.6523181190595102,True
44,7,17000,5,44,7,17000,5,440070170005,1355,68.71,3.32,0.0,2.58,0.0,16.83,19.05,14.17,65.54,12.1,1,-71.34777173061453,41.86318574454847,0.856313334743322,2.4882437923898766,2.4906030279798275,0.7171174909582635,2.502236066060284,0.3668938103835019,0.3586454317857713,0.5875461793729941,1.1598660113877477,0.3586454317857713,0.3586454317857713,3.4361254026835284,0.8355369797858979,True
44,7,17100,1,44,7,17100,1,440070171001,799,62.08,3.0,0.0,10.64,0.0,12.52,0.0,4.13,81.73,14.14,1,-71.37349385503296,41.86141605600536,1.3381653976163783,2.096883913673602,0.9771178648215442,1.2703339179156168,1.4175831538793202,0.8282045691335408,1.7303517235884551,1.3337768311183449,0.3731578063206032,1.7303517235884551,1.7303517235884551,2.0825316703299075,1.6053536969579356,True
44,7,17100,2,44,7,17100,2,440070171002,661,55.52,23.75,0.0,0.0,0.0,20.73,7.73,3.33,58.09,34.49,1,-71.36827359178417,41.87548696889749,1.2393524571245154,0.4813674550619162,0.9175847896183124,0.4154056254213391,0.4684734335918186,0.4921085768963792,0.5883548520724162,0.5618128392022887,0.8709414755267202,0.5883548520724162,0.5883548520724162,1.3196599915087366,0.6918692573021848,True
44,7,17100,3,44,7,17100,3,440070171003,2479,36.59,22.35,0.0,0.0,0.0,39.45,21.58,2.66,80.68,16.66,7,-71.36810006700328,41.86574908124194,1.3478261115336518,1.5632324318680315,0.8331290096843146,0.6809496091053238,1.3384019748259657,1.227194941771225,1.527489783934297,1.1365122410675936,0.2958052560216057,1.527489783934297,1.527489783934297,1.9241786563275247,1.0255341399416915,True
44,7,17100,4,44,7,17100,4,440070171004,706,52.41,7.22,0.0,3.82,0.0,6.37,8.36,11.9,75.35,12.75,1,-71.37383049855143,41.868884590141015,1.1689270458715908,1.3102227818393657,0.2461420995776731,0.6392434013729499,0.7496015184400154,0.8551558618554504,1.0053514296106094,1.1178997893064202,0.5695388961596671,1.0053514296106094,1.0053514296106094,1.3512004016816657,0.9203481005738768,True
44,7,17300,1,44,7,17300,1,440070173001,1395,59.64,5.59,0.0,0.0,0.0,34.77,12.19,0.93,78.92,20.14,1,-71.51969104743246,42.01370665932447,0.8720656723866048,3.5989889522934333,2.2176620867890224,0.8720656723866048,4.314563807064692,0.8397840652553108,1.0632156670663413,0.7153023769415102,0.8290238297640176,1.0632156670663413,1.0632156670663413,1.8218407750994583,1.19599295982514,True
44,7,17300,2,44,7,17300,2,440070173002,1159,56.17,11.91,2.85,5.78,0.0,20.62,20.34,5.95,75.24,18.81,1,-71.51784464804744,42.00969704899391,0.988080532558362,3.1409235530078683,1.906920251386518,0.6925549102262204,4.202535956546182,0.9504309567809496,0.6716252468258038,0.9526523041705935,0.5746787682275931,0.6716252468258038,0.6716252468258038,2.1172197304589697,0.7509386965970172,True
44,7,17300,3,44,7,17300,3,440070173003,668,53.59,29.64,0.0,2.4,0.0,9.43,1.35,4.49,81.44,14.07,1,-71.52542492452385,42.0096790877131,0.8886022118988318,3.247020065469082,2.511497027825456,0.8886022118988318,4.823451206065214,0.7868109172775434,1.2606373666450084,0.6810028184006919,0.6109406326970335,1.2606373666450084,1.2606373666450084,1.5737393178312076,1.2311405196092824,True
44,7,17400,1,44,7,17400,1,440070174001,1889,37.06,6.72,0.0,6.25,0.0,28.64,39.39,0.69,79.3,14.77,7,-71.5318660891559,42.0054112153816,1.3268496179130351,3.000180328802845,2.9811023074949228,1.3268496179130351,5.426003163161688,0.1999723743116114,1.3880634748776584,1.1656956474978954,0.8478183763643297,1.3880634748776584,1.3880634748776584,1.5698952924268377,1.502175342921074,True
44,7,17400,2,44,7,17400,2,440070174002,1128,50.09,7.18,0.0,1.6,0.0,30.85,25.98,2.04,77.39,20.57,1,-71.52454177265375,42.00110567299768,1.6429093557100418,2.315944509142723,2.376851093649857,1.427833775897872,4.963239252029554,0.9711767235778604,1.3191419493269438,1.625451140149401,0.3349910224418261,1.3191419493269438,1.3191419493269438,1.5327767977179123,0.8725171936422983,True
44,7,17400,3,44,7,17400,3,440070174003,1589,16.99,9.75,0.0,19.32,0.0,51.48,37.57,2.52,84.96,12.52,6,-71.53134997379476,41.9975200583124,2.192812376874693,2.2347290032944227,2.3412820925236915,2.1164529383024338,5.626173344986107,0.7502109699079504,0.935548241461838,2.01770938396179,0.1863993154985835,0.935548241461838,0.935548241461838,1.632329517229826,1.5237950666491389,True
44,7,17500,1,44,7,17500,1,440070175001,833,91.84,0.0,0.0,0.24,0.0,1.56,8.28,3.12,69.27,27.61,1,-71.52774694006976,41.99355690599997,1.9724546649846733,1.704005649679358,1.814197879377333,1.6318422042959744,5.524484568586528,1.2731936448284618,1.2338095342293405,1.4941690944930912,0.6309019921657556,1.1557195748645372,1.1557195748645372,1.1557195748645372,1.3870675803578527,True
44,7,17500,2,44,7,17500,2,440070175002,939,56.87,5.54,0.0,19.7,0.0,12.25,11.08,6.6,77.53,15.87,1,-71.5245034629741,41.990210533198734,1.516211187295273,1.2460224219623333,1.3601621198257945,1.173367385157044,5.463131131567952,1.6557713982561733,1.5994075504391827,1.0375056108841212,0.1853533340613393,0.7922992868269069,0.7922992868269069,0.7922992868269069,0.9375957275276036,True
44,7,17500,3,44,7,17500,3,440070175003,911,87.82,0.0,0.0,4.61,0.0,6.81,16.14,4.72,72.23,23.05,1,-71.5185722497319,41.98835791201714,1.0573797110570893,0.8154672333071197,0.890214874610903,0.7830197229063232,5.1625816140054015,1.4909269743446796,1.935220160135076,0.6001302532355142,0.4579666915802933,0.3129138172954533,0.3129138172954533,0.3129138172954533,0.4590987998472892,True
44,7,17600,1,44,7,17600,1,440070176001,1298,27.27,18.1,0.0,4.24,0.0,42.68,22.87,4.24,69.88,25.89,7,-71.52117688820032,41.99931248764928,1.499951590728683,2.042703612639403,2.088759727324856,1.3339380215290602,4.769832650443798,0.9287798898588836,1.214762166454781,1.5780162358145589,0.1011430470073208,1.214762166454781,1.214762166454781,1.226270215192874,0.6774110218277859,True
