State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers,Closest_Distance_Nursing_Homes
49,51,960204,1,49,51,960204,1,490519602041,3320,80.3,0.0,0.0,2.32,0.0,17.38,2.68,1.84,94.64,3.52,1,-111.40686306312028,40.47868739391532,2.5230759386950186,21.914272105834726,1.2597168779002,1.989464119793065,1.1524910376802593,1.276263422003396
49,51,960204,2,49,51,960204,2,490519602042,1045,79.71,2.2,0.0,0.96,0.0,15.31,2.68,1.24,83.25,15.5,1,-111.41635527742412,40.465910101046966,3.868924525054013,22.98343477623203,2.813535360383996,3.32264615118761,2.726717032240351,2.828091252476725
49,51,960401,1,49,51,960401,1,490519604011,1056,89.11,0.0,0.0,1.33,0.0,0.0,0.0,6.25,69.6,24.15,1,-111.47023877673846,40.51931229890655,5.166027933070931,16.118850790776534,6.319317507409416,4.880463405945201,6.428101387442876,4.088240041685234
49,51,960401,2,49,51,960401,2,490519604012,845,85.21,0.0,5.56,0.0,0.0,7.93,1.66,2.96,77.04,20.0,1,-111.455150606679,40.48651289907441,3.7985117860833792,19.93436157181986,4.157747206702425,3.628404472271284,4.207991282910535,2.1699429950860196
49,51,960401,3,49,51,960401,3,490519604013,649,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.64,36.36,1,-111.44301689699874,40.53097092110522,4.154492384617758,15.40683277884053,5.516971372938231,3.118879985515956,5.6427167112078855,3.9766883568089426
49,51,960402,1,49,51,960402,1,490519604021,3711,97.6,0.0,0.0,0.0,0.0,1.27,3.69,0.0,95.9,4.1,1,-111.48710097511602,40.518761245256094,6.477713120540215,16.014346861844263,7.550411625798656,6.295718943157736,7.651863311283941,5.24059181697104
49,51,960500,1,49,51,960500,1,490519605001,1079,96.2,2.78,0.0,0.0,0.0,1.02,0.37,2.22,84.43,13.35,1,-111.39650252702292,40.37086473453071,14.511579719645225,23.684550079428952,13.273230148631905,13.963911444804555,13.158117466410545,13.290244251913155
49,51,960500,2,49,51,960500,2,490519605002,359,94.15,0.0,0.0,0.0,0.0,5.85,0.0,56.27,13.93,29.81,1,-111.52199119367666,40.514103195367504,9.229050878812975,16.53572588532344,10.150231931514504,9.229050878812975,10.237394960242336,7.805062159083528
49,51,980100,1,49,51,980100,1,490519801001,0,,,,,,,,,,,7,-111.42449684614596,40.48141881993478,2.3085720102848524,21.130776979710568,1.818154377781104,1.823145099296092,1.8143324329179544,1.7727436688267668
49,53,270101,1,49,53,270101,1,490532701011,1289,97.44,0.0,0.0,0.7,0.0,1.86,6.21,15.98,61.99,22.03,1,-113.3036592850414,37.45277470898027,29.374424105805044,30.31404945410426,34.50241239258571,27.07729478736982,30.93858148237803,30.042873921022565
49,53,270101,2,49,53,270101,2,490532701012,1720,90.52,0.47,0.0,0.0,1.05,2.73,10.82,4.3,80.23,14.13,1,-113.28492769472952,37.31785901487617,15.945766310658144,15.773846117154068,34.14212589089424,11.986808386280607,16.408729878224307,15.03620648474024
49,53,270101,3,49,53,270101,3,490532701013,1147,94.94,0.0,0.0,0.0,0.0,3.66,9.42,7.06,51.7,41.24,1,-113.38712319095433,37.26860512348689,10.844478997297085,12.859574066171763,24.057083506800115,10.844478997297085,11.353854682492845,11.24193358328817
49,53,270102,1,49,53,270102,1,490532701021,983,98.78,0.0,0.0,0.0,0.0,0.2,7.32,17.19,72.43,10.38,1,-113.15437850857768,37.06261757952018,18.750448131170018,17.28014023352977,35.642756284768964,18.750448131170018,20.298723617967436,17.155013107778796
49,53,270102,2,49,53,270102,2,490532701022,854,87.35,3.51,0.0,0.0,1.76,7.38,12.78,15.93,57.14,26.93,1,-112.97511054146624,37.12669692794045,30.265075408899435,28.23606722499736,40.33212327709178,28.05362557938672,32.28639680238096,27.952218783844206
49,53,270102,3,49,53,270102,3,490532701023,715,93.57,0.0,1.4,0.0,0.0,4.2,19.3,10.91,70.49,8.53,1,-113.0621922443471,37.3275805502237,27.731487456308585,26.11865954715493,41.386452356491205,22.80885497800952,29.41448411970191,25.303452661843075
49,53,270102,4,49,53,270102,4,490532701024,2921,94.86,0.0,0.0,0.0,0.0,5.14,37.88,25.61,68.13,6.26,1,-112.97859184235836,37.01709280094072,34.36588919987844,32.61252067718945,40.07763250978001,33.87083477970742,36.13010880516009,32.64718840595869
49,53,270200,1,49,53,270200,1,490532702001,1074,94.69,0.0,0.0,0.0,0.0,5.31,1.96,9.22,73.93,16.85,1,-113.52471298726276,37.43876560313877,32.79542853311883,35.33449786201341,38.00429149366577,22.319515378883207,33.767152962822244,22.317241015954522
49,53,270200,2,49,53,270200,2,490532702002,1831,98.42,0.0,0.0,0.0,0.0,1.58,4.42,12.56,78.7,8.74,1,-113.80349854669925,37.50466366728022,45.402411850565805,45.506049827471074,49.39064396552602,10.565922393803334,50.01039113970791,10.568194229689258
49,53,270301,1,49,53,270301,1,490532703011,3171,90.98,0.0,0.0,0.0,0.0,6.37,6.15,8.23,77.51,14.25,1,-113.58890024329872,37.26157409132756,15.778863511843149,15.761438671217626,18.10693112356084,15.591074410042292,18.36812095557925,13.109814722256417
49,53,270301,2,49,53,270301,2,490532703012,2187,81.66,0.69,0.69,0.0,1.46,12.8,12.23,16.55,68.13,11.39,1,-113.56335369397576,37.173547228701565,6.618225306739881,7.525555703310301,8.355835789227086,6.356801823002198,8.433981503154785,6.331315433211906
49,53,270301,3,49,53,270301,3,490532703013,1397,83.54,0.0,2.51,0.0,0.0,12.53,19.31,10.45,75.88,11.17,1,-113.59077254835825,37.112632762148486,0.3482909526888412,2.8557599828073608,2.0058499417185143,0.3482909526888412,2.9850772044228893,0.38238973473535603
49,53,270301,4,49,53,270301,4,490532703014,494,90.28,0.0,0.0,0.61,0.61,8.5,41.76,2.02,72.87,15.59,1,-113.57106845126673,37.10813902822622,1.8153860392189525,1.278449307280949,1.0948395674796032,0.2898219058802071,1.3729829443851582,0.6183458286914559
49,53,270302,1,49,53,270302,1,490532703021,2719,88.93,0.0,4.34,0.48,0.0,2.72,7.65,2.91,51.49,45.61,1,-113.87948911495825,37.21583919309339,24.970138388320475,25.18724366904335,29.876361711379616,24.734423559742027,30.98751080642099,18.958198695630333
49,53,270401,1,49,53,270401,1,490532704011,2742,86.29,0.0,1.39,0.47,1.93,6.13,8.94,7.4,73.78,18.82,1,-113.69332982184038,37.16313668751067,7.690551166872773,7.88968891383792,12.6172402072179,7.432320875544877,13.669230443435607,1.6518075401311973
49,53,270401,2,49,53,270401,2,490532704012,1947,95.12,0.51,0.0,0.0,0.0,4.37,2.93,9.86,72.16,17.05,1,-113.67746885770497,37.15520760643024,6.036582786763394,6.23377217683851,10.959502245997893,5.77677911848398,12.01002215517934,1.1811692502365725
49,53,270401,3,49,53,270401,3,490532704013,2315,78.1,0.0,0.0,6.22,0.0,11.66,20.6,1.17,77.54,21.3,1,-113.66404074490433,37.15493175745975,5.1182756905903855,5.298482168771013,9.98493846344384,4.849278706346923,11.002796533470724,1.534004243054391
49,53,270402,1,49,53,270402,1,490532704021,2634,93.58,0.0,0.0,4.33,0.46,1.63,7.74,1.52,68.49,29.99,1,-113.69340651756296,37.23329124681382,13.81395270674986,13.939928556238222,18.19999936087341,13.543728280982393,19.006723100205605,7.698005515770352
49,53,270501,1,49,53,270501,1,490532705011,3009,89.17,0.0,0.0,0.0,1.3,9.54,0.0,11.03,67.53,21.44,1,-113.68232355670226,37.12265827234063,5.235916638361333,5.4633806013216,9.797925745284331,5.082086161405405,10.956126003749503,4.823719122400701
49,53,270502,1,49,53,270502,1,490532705021,2099,90.19,0.0,0.0,2.19,0.0,2.86,16.58,16.91,49.5,33.59,1,-113.64568760090094,37.15334925641332,3.979930367686566,4.119334752543067,8.645966861621883,3.7079084685307566,9.606895353162008,2.9316618450614267
