State,County,Tract,Block_group,state,county,tract,block group,GEOID,population,white_only,black_only,aian_alone,asian_only,nhopi_alone,hispanic,below_poverty,no_health_ins,one_health_ins,two_health_ins,racial_majority,Longitude,Latitude,Closest_Distance_Pharmacies_Top3,Closest_Distance_Urgent_Care_Centers,Closest_Distance_Hospitals,Closest_Distance_Pharmacies_All,Closest_Distance_Dialysis_Centers
53,63,12801,1,53,63,12801,1,530630128011,516,89.92,0.0,0.0,0.0,0.0,3.49,5.23,1.55,82.56,15.89,1,-117.23602058259222,47.63665063063754,2.23467646942851,2.8978340143907046,3.793497838238339,1.5579933081727988,3.3692104618306065
53,63,12801,2,53,63,12801,2,530630128012,1159,58.93,0.0,0.0,0.69,0.0,40.38,27.87,8.63,75.5,15.88,1,-117.24522129767284,47.63831662298416,2.089606577875791,3.255818909917364,3.681194622688383,2.089606577875791,3.1868936765930287
53,63,12801,3,53,63,12801,3,530630128013,1209,91.23,0.91,2.07,0.0,0.0,5.29,9.4,3.72,85.11,11.17,1,-117.24520539542152,47.63104363131835,2.8836665245281035,3.818513699242975,4.476530826359148,1.7893541300398483,3.9915256567202233
53,63,12801,4,53,63,12801,4,530630128014,1438,83.45,2.57,0.0,6.68,0.0,2.29,10.42,4.1,85.95,9.94,1,-117.2319816795216,47.63076032816375,2.9264157017064414,3.278811564453095,4.455919071197858,0.8847682336896125,4.057918290987186
53,63,12802,1,53,63,12802,1,530630128021,677,94.83,0.3,0.0,0.0,0.0,4.87,3.69,3.84,76.81,19.35,1,-117.2546658723254,47.639251350017226,2.260117193113955,3.775053304606655,3.7875618750243776,1.906843567823081,3.241838039341047
53,63,12802,2,53,63,12802,2,530630128022,1493,74.28,0.0,5.89,6.5,0.0,1.67,9.51,4.82,70.46,24.72,1,-117.25600210600176,47.632002041187306,3.019954998895708,4.325750986240628,4.5763229726020125,2.5954217971709896,4.039855202329206
53,63,12802,3,53,63,12802,3,530630128023,1505,77.61,8.17,1.66,0.86,0.0,8.24,3.99,2.26,80.2,17.54,1,-117.26476614481662,47.63676608155846,2.9318877809947947,4.568106945396125,4.371101299054283,2.1027817574386662,3.8022293215031793
53,63,12901,1,53,63,12901,1,530630129011,2257,93.58,0.0,1.2,0.0,0.0,2.26,13.25,2.26,68.94,28.8,1,-117.2136875263908,47.66418259885696,1.6135529184922497,0.8316164254369626,1.7878481702843942,0.934388804891702,2.0288413308610753
53,63,12901,2,53,63,12901,2,530630129012,838,88.9,0.0,0.0,0.0,0.0,11.1,10.7,18.97,64.32,16.71,1,-117.204257531874,47.66512959537643,0.9939139904166836,0.5729015440207146,2.419833685636211,0.7742981166544852,2.7203483148780565
53,63,12902,1,53,63,12902,1,530630129021,727,92.3,0.0,0.0,0.0,0.0,0.0,4.95,2.2,82.67,15.13,1,-117.20737294135178,47.65522605203993,0.859568923895302,0.3616514823667135,2.722678683500096,0.3002670014437509,2.7948776666729445
53,63,12902,2,53,63,12902,2,530630129022,974,99.08,0.0,0.92,0.0,0.0,0.0,3.18,2.46,76.49,11.4,1,-117.20738395185204,47.651558163245255,0.9860120848933304,0.6657146484454759,2.997585119785562,0.5666220986623941,3.0039650919537157
