STATE,geometry
AZ,POINT (-111.961492971 33.3132562530001)
AZ,POINT (-111.916188039 33.3485822750001)
AZ,POINT (-111.920650457 33.3934142160001)
AZ,POINT (-111.924712446 33.363367548)
AZ,POINT (-111.848027038 33.4016325640001)
AZ,POINT (-111.877665912 33.3238089590001)
AZ,POINT (-111.846546521 33.314084103)
AZ,POINT (-111.737936472 33.357812273)
AZ,POINT (-111.925821918 33.4054171810001)
AZ,POINT (-111.973109599 33.4790335600001)
AZ,POINT (-111.916887018 33.4920631740001)
AZ,POINT (-111.899278469 33.5282038990001)
AZ,POINT (-111.833697012 33.417485264)
AZ,POINT (-111.788330498 33.437890784)
AZ,POINT (-111.797226697 33.4119126320001)
AZ,POINT (-111.761023822 33.422173312)
AZ,POINT (-111.687663916 33.422428833)
AZ,POINT (-112.737218832 33.9657627720001)
AZ,POINT (-112.735981604 33.96797128)
AZ,POINT (-112.26203192 33.603264504)
AZ,POINT (-112.133436857 33.585080685)
AZ,POINT (-112.150215213 33.6364890300001)
AZ,POINT (-112.02946184 33.5956742330001)
AZ,POINT (-111.890445764 33.3210565910001)
AZ,POINT (-111.804717068 33.4281350300001)
AZ,POINT (-111.84941966 33.308553267)
AZ,POINT (-111.727134279 33.436686235)
AZ,POINT (-112.031027129 33.502951264)
AZ,POINT (-114.03981291 35.263144783)
AZ,POINT (-110.194354836 34.886225772)
AZ,POINT (-109.932636539 33.797481659)
AZ,POINT (-109.971185586 34.1442764540001)
AZ,POINT (-110.008735352 34.1960162250001)
AZ,POINT (-109.93377098 34.122439673)
AZ,POINT (-110.061131006 34.9715598180001)
AZ,POINT (-110.943441467 32.2398937950001)
AZ,POINT (-110.978746963 32.1782014250001)
AZ,POINT (-111.128925107 32.3659424690001)
AZ,POINT (-110.845551212 32.191221093)
AZ,POINT (-110.875067771 32.2658411290001)
AZ,POINT (-111.012946702 32.407833178)
AZ,POINT (-110.875253755 32.2649102230001)
AZ,POINT (-110.893144458 32.257506758)
AZ,POINT (-110.935157958 32.3235093770001)
AZ,POINT (-110.96178674 32.416671513)
AZ,POINT (-110.885740738 32.2383947450001)
AZ,POINT (-110.972136474 32.131374629)
AZ,POINT (-110.961573636 32.276053432)
AZ,POINT (-110.960704858 32.2433967370001)
AZ,POINT (-110.965072382 32.349910245)
AZ,POINT (-110.889144328 32.292796755)
AZ,POINT (-110.996557906 32.3516976110001)
AZ,POINT (-110.992797312 32.352542375)
AZ,POINT (-110.920711416 32.2634344910001)
AZ,POINT (-110.962218119 32.3774855560001)
AZ,POINT (-110.826741555 32.236774956)
AZ,POINT (-110.825069609 32.2140263970001)
AZ,POINT (-111.05585969 32.164221959)
AZ,POINT (-110.803962227 32.2035067240001)
AZ,POINT (-110.856883258 32.229013594)
AZ,POINT (-110.982386935 32.3455880240001)
AZ,POINT (-110.936224833 32.233802623)
AZ,POINT (-110.912126125 32.23308365)
AZ,POINT (-111.019987824 32.152779115)
AZ,POINT (-111.021165252 32.3230453260001)
AZ,POINT (-111.046299514 32.344293513)
AZ,POINT (-110.961705618 32.3270527770001)
AZ,POINT (-111.035273165 32.316912872)
AZ,POINT (-110.950363677 32.2557798880001)
AZ,POINT (-110.891571015 32.2443110250001)
AZ,POINT (-110.964844753 32.2364981540001)
AZ,POINT (-110.95768626 32.2345683140001)
AZ,POINT (-110.909162817 32.227657734)
AZ,POINT (-110.969204629 32.206229432)
AZ,POINT (-110.842278885 32.19963642)
AZ,POINT (-111.008847086 32.1070151930001)
AZ,POINT (-111.749787025 32.874840578)
AZ,POINT (-110.919417794 31.3570357070001)
AZ,POINT (-112.066701423 34.4351544840001)
AZ,POINT (-112.497508606 34.5252716890001)
AZ,POINT (-111.892468309 34.7526762160001)
AZ,POINT (-112.467636197 34.5403196880001)
AZ,POINT (-111.868933749 34.565054687)
AZ,POINT (-111.797673715 34.625684688)
AZ,POINT (-112.453701531 34.776132352)
AZ,POINT (-112.473982285 34.5438559460001)
AZ,POINT (-111.806839152 34.803044937)
AZ,POINT (-114.644860755 32.6765943710001)
AZ,POINT (-114.527180231 32.6687862090001)
AZ,POINT (-114.59394189 32.6812841120001)
AZ,POINT (-114.627301328 32.6946079430001)
AR,POINT (-91.540232539 34.4805530840001)
AR,POINT (-91.557441193 34.4815174240001)
AR,POINT (-92.361671723 36.323608929)
AR,POINT (-94.501428838 36.23758976)
AR,POINT (-94.4995338969999 36.239876806)
AR,POINT (-94.136302089 36.3307872500001)
AR,POINT (-94.148771677 36.261166249)
AR,POINT (-94.1242476049999 36.3403733170001)
AR,POINT (-94.447459834 36.4215406600001)
AR,POINT (-94.1667272779999 36.38231791)
AR,POINT (-93.094762177 36.240236377)
AR,POINT (-93.736047546 36.384186314)
AR,POINT (-93.747253525 36.4134052580001)
AR,POINT (-92.0351272029999 35.480522734)
AR,POINT (-93.20341018 33.2823838690001)
AR,POINT (-92.791797332 35.116979789)
AR,POINT (-90.703165105 35.828946477)
AR,POINT (-90.699103382 35.82288534)
AR,POINT (-90.744507115 35.8151704320001)
AR,POINT (-90.703015846 35.8367140450001)
AR,POINT (-92.434878985 35.0906497080001)
AR,POINT (-92.43778637 35.0859661690001)
AR,POINT (-93.051908315 34.51041473)
AR,POINT (-93.114422471 34.483923895)
AR,POINT (-93.064015829 34.4977912700001)
AR,POINT (-92.986411195 34.505314012)
AR,POINT (-93.061201578 34.501894006)
AR,POINT (-90.487662327 36.0584118250001)
AR,POINT (-90.5580269229999 36.057399092)
AR,POINT (-93.387713054 34.3636321110001)
AR,POINT (-92.026292079 34.1638759800001)
AR,POINT (-90.912256267 34.5701140360001)
